Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:11,UDP,172.217.1.10,443,192.168.2.19,63726,184,N/A
20:35:11,UDP,172.217.1.10,443,192.168.2.19,63726,64,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:11,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:11,UDP,192.168.2.19,51846,172.217.1.10,443,317,N/A
20:35:11,UDP,192.168.2.19,51846,172.217.1.10,443,317,N/A
20:35:11,UDP,172.217.1.10,443,192.168.2.19,63726,66,N/A
20:35:11,UDP,172.217.1.10,443,192.168.2.19,51846,72,N/A
20:35:12,UDP,172.217.1.10,443,192.168.2.19,51846,108,N/A
20:35:12,UDP,172.217.1.10,443,192.168.2.19,51846,63,N/A
20:35:12,UDP,192.168.2.19,51846,172.217.1.10,443,77,N/A
20:35:12,UDP,192.168.2.19,51846,172.217.1.10,443,77,N/A
20:35:12,UDP,192.168.2.19,51846,172.217.1.10,443,83,N/A
20:35:12,UDP,192.168.2.19,51846,172.217.1.10,443,83,N/A
20:35:12,UDP,192.168.2.19,63726,172.217.1.10,443,325,N/A
20:35:12,UDP,192.168.2.19,63726,172.217.1.10,443,325,N/A
20:35:12,UDP,172.217.1.10,443,192.168.2.19,51846,65,N/A
20:35:12,UDP,172.217.1.10,443,192.168.2.19,63726,71,N/A
20:35:12,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:12,UDP,192.168.2.19,63726,172.217.1.10,443,75,N/A
20:35:12,UDP,172.217.1.10,443,192.168.2.19,63726,1033,N/A
20:35:13,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:13,UDP,192.168.2.19,63726,172.217.1.10,443,79,N/A
20:35:13,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:13,TCP,66.203.125.14,443,192.168.2.19,18354,455,N/A
20:35:13,TCP,192.168.2.19,18354,66.203.125.14,443,714,N/A
20:35:13,TCP,192.168.2.19,18354,66.203.125.14,443,714,N/A
20:35:13,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:13,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:13,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:13,TCP,66.203.125.14,443,192.168.2.19,18354,60,N/A
20:35:13,TCP,192.168.2.19,17820,172.64.80.1,8443,85,N/A
